아파트,지역구,면적,거래금액,건축년도
래미안남가좌2차,서대문구,59.788,131000,2005.0
래미안크레시티,동대문구,84.96,164000,2014.0
목동센트럴아이파크위브4단지,양천구,84.98,139000,2020.0
마곡금호어울림,강서구,84.948,97000,2005.0
동일스위트리버,동대문구,120.456,110000,2007.0
목동센트럴아이파크위브4단지,양천구,59.68,130000,2020.0
현대홈타운,구로구,59.49,80000,2001.0
목동센트럴아이파크위브4단지,양천구,52.85,108000,2020.0
현재트윈빌,은평구,113.02,62000,2000.0
휘경SK뷰,동대문구,84.31,161000,2019.0
목동센트럴아이파크위브2단지,양천구,59.88,130000,2020.0
힐스테이트홍은포레스트,서대문구,72.97,106000,2023.0
힐스테이트홍은포레스트,서대문구,72.79,118000,2023.0
힐스테이트클래시안,영등포구,42.68,100000,2020.0
힐데스하임,은평구,42.24,54000,2017.0
면목한신,중랑구,35.3,30000,1987.0
만민하늘애,마포구,51.6,78000,2023.0
마곡푸르지오,강서구,59.87,127500,2008.0
롯데(505),노원구,129.91,105000,1989.0
동아에코빌,성북구,59.95,87000,2003.0
래미안목동아델리체(101동~118동),양천구,84.95,186000,2021.0
럭키남서울아파트,금천구,41.22,41400,1981.0
동궁리치웰문정(101),송파구,80.13,95500,2004.0
목동청구한신아파트,양천구,84.77,191500,1997.0
동아한신,구로구,59.84,66000,2000.0
둔촌역청구,강동구,84.98,125000,1999.0
마곡삼성아파트,강서구,59.95,68000,1998.0
동호스카이,은평구,53.92,52000,2010.0
홍은동아더프라임,서대문구,74.891,76000,2014.0
명지해드는터,강서구,84.39,61000,2005.0
둔촌역청구,강동구,84.98,125000,1999.0
힐스테이트리슈빌강일,강동구,84.893,154000,2023.0
목동우성2,양천구,84.96,131000,2000.0
래미안파크스위트,광진구,59.98,174000,2018.0
마곡 한진해모로,강서구,59.92,69800,2004.0
영등포자이르네,영등포구,49.01,69000,2022.0
올림픽파크리움,송파구,12.896,15000,2016.0
임광,서대문구,59.96,74500,1999.0
월등스카이뷰,중랑구,64.693,42000,2004.0
우창,송파구,76.42,169000,1985.0
주공6,노원구,44.1,45000,1993.0
DMC롯데캐슬더퍼스트,은평구,84.93,138000,2021.0
위례24단지(꿈에그린),송파구,59.66,184500,2013.0
가락(1차)쌍용아파트,송파구,59.92,195000,1997.0
LIG건영캐스빌,도봉구,80.149,65000,2002.0
우성1,영등포구,49.64,110000,1986.0
이니그마빌2,강남구,230.69,550000,2002.0
솔루테아파트,중랑구,82.811,64000,2001.0
신동아,동대문구,58.59,92200,1994.0
성원,도봉구,71.78,51900,1989.0
아크로리버뷰신반포,서초구,84.82,325000,2018.0
신림동부센트레빌,관악구,84.93,80500,2006.0
신목동파라곤,양천구,59.705,94000,2024.0
